text,emotion
the death of jaya prakash narayan caused a great deal of sadness as i believed that he was the only true democrat and a ray of hope on the indian horizon,sadness
"when i fell in love with ""x""  overnight i felt confidence, self-esteem,    responsible and worthwhile",joy
i played chess with my 12-year-old brother i made a stupid mistake - and he won!,anger
while i was away for the weekend some friends went into my room and played my very expensive stereo without asking me or my roommate,anger
finding out about chinese money cannot buy foreign journals,shame
when i thought that my high school love and i had a mutual emotion,joy
"i am ashamed when i am not ready for my seminar in internal diseases, simply because the assistant professor is a person who deserves high respect",shame
my got my mathematics test's marks and could not believe that it was true  in the past i would have at least 80% marks  was i getting weaker at studies ?  this made me feel that i should not expect too much from going to the university,sadness
when a good friend with whom i had an intimate relationship made clear that he didn't want to continue in the same way he choose his girlfriend (also a friend of mine),sadness
"i dated another boy several times, when i was still ""going with"" my former boyfriend this made me feel a little bit guilty towards my friend",guilt
when my brother was very late in arriving home from work,fear
railway station good-bye,sadness
i was for the first time on a brigade this year at that time my sister was to bear a child i was mad with joy when i opened the telegram from my parents and learned i had a nephew,joy
i came out of the house at 7:20 am monday morning getting ready t go to school and fight for a parking when i saw my car had a flat tire,anger
when i took away my best friend's boyfriend,guilt
my friend promised to take me out for a movie but he didn't turn up,disgust
"one of my best friends was found lying flat on the road because he was drunk and was taken by the police and put in a cell i went to see him the following morning, the place was really a mess and was smelling badly i didn't like it",disgust
while walking in town i noticed how the police harrassed a man who was under the influence of alcohol  they terrified him with the thought of arrest by driving close behind him on a pedestrian street  my disgust was directed at the gestures and th,disgust
i felt sadness when i remembered my former boyfriend with whom i got separated an year ago and when comparing him with my present one with whom things are not much of a success,sadness
saw a selfish person doing a selfish thing,disgust
crossing a street of several ways the cars began to move and i thought that i was going to be trampled,fear
when inadvertantly i found myself in the ladies room,shame
"one day, i was alone on duty when a patient choked while eating  i ran to her and tried to make her breath, but it was too late",guilt
talking to my close friend,joy
"i had a quarrel with my father, because i was of the opinion that he decided in an authoritarian way which tv program we should watch i became very angry and started throwing things through the room",anger
i once stole my father's money and denied having done it instead father threatened my young brother and he was beaten he was innocent and i felt guilty,guilt
"when i left new york, and all my family and my friends behind me",sadness
"when i went to my room-mate's drawer to see if she had an iron  which i could use, she came in  i felt guilty as she may have thought that i had been stealing",guilt
a few weeks ago i thought about an exam i had to take soon i remembered this just before i had to go to sleep i felt guilt because at the beginning of the year i planned to succeed,guilt
"my sweatheart were away on a trip, and then she got problems",sadness
i learnt from the newspaper that i had been accepted at the chinese university of hk  it was 7 o'clock in the morning  later i told my family and relatives about it and had tea with them very joyfully,joy
the day i learnt that my girlfriend had been going around with  a close friend of mine,shame
when my brother promised me money but he failed to fulfill the promise,disgust
"when i was misleaded by a person who assured that something would not occur, that i had no reason to prepccupy myself, and suddenly i saw myself implicated by the fact, because of the incompetence, and irresponsibility of that person",anger
a girl entered in the division where i work and greeted everybody but not me,anger
i am disgusted at the number of second year students who are pregnant illegitimately,disgust
"when a friend of mine discussed with me, i felt fear of losing her this occurred because we had a missunderstanding between mutual colleagues",fear
"once, when i was ten, i could not remember why my mother was so angry  she fainted suddenly and i was very scared as i did not know what to do",fear
when i got caught in the pouring rain last thursday and did not have a raincoat on me,anger
relatives visiting me,joy
the birth of my first child,joy
when i was finally qualified for my profession,joy
when people remember us and shows interest about what we do,joy
i really became sad when mother passed away while i was very young,sadness
"car accident travelling as a passenger along narrow bitumen road at night - trying to overtake semi-trailer the truck pulled over onto our side and we hit the wet dirt, swerved back into the truck, back onto the verge, over a guide post and into a",fear
when the gear broke on my car,sadness
"i've always defended my sister when needed, at the expense of my brother this has led to feelings of guilt towards him",guilt
one day i went to see a rather disagreeable film (x),disgust
a striking act of ingratitude at a public vehicle,disgust
"i confronted with this feeling at the institute quite recently, the pedology lecturer was the cause",anger
"my father died 4 years ago, 18 months after my mother died i feld my sister was responsible for his death, in that she ""hadn't loved him"" i felt ashamed for myself, and for my family",shame
when i was a kid i stole toys from other kids,guilt
i was ashamed when a certain friend of mine i used to move with failed to propose to a lady yet we always said to ourselves no lady can refuse our proposal,shame
when i got low marks in bsc final,anger
hearing of a filthy situation over the phone,disgust
at a gathering i found myself involuntarily sitting next to two people who expressed opinions that i considered very low and discriminating,disgust
a person close to me told me that his positive regard depended on my conduct,sadness
"during the christmas holidays, i went to see my parents and stayed with them for two weeks after two or three days, we had the same conflicts we had had ten years before when i had lived with them they were glad when i left",sadness
"a day when i was getting out of the shower i covered only the front part of my body with a towel (i was 7 years old), and i didn't see that my cousin was in the room",shame
i had gone for a medical check-up at the uth and failed to make it back on time for the c119 practical sessions at 1400 hours last academic year,fear
"when i was going home for my holiday, i almost drowned in the zambezi river",fear
"when i was 7-8 years old, i woke up one night and found myself alone at home  my mother had gone out to buy cigarattes from a machine",fear
reading a letter from a close friend who said he missed me and cared for me,joy
when my mother quarrelled with my aunt over me,anger
i met my friend and he gave me a wonderful present as it was my birthday  i enjoyed having that present,joy
"when on holiday in greece i called my best friend, she told me she passed the examinations and that she had been admitted to the study for speech therapy",joy
going to a concert,joy
i work part-time as a shop-assistant and a customer spoke to me very loudly about an indian man & white woman with children - how horrible that was and would i want to have little dark children,disgust
when my basket ball team lost the qualification at a final,sadness
i have been afraid several times what marked me was that i almost didn't enter university,fear
someone knocked on the door when i was alone at home (though there was a door bell)  i looked through the peep hole but it had been covered  i called my sister but she could not help me as she was hundreds of kilometres away,fear
i felt joy when my boyfriend proposed to me in marriage,joy
can think of no time that i have felt fear,fear
"at an examination i got a bad mark just because of a small mistake when i went to the lector and wanted to talk about that, he did not listen to me but sent me away",anger
staying alone in the dark,fear
"i was in the living room at home with an ex-boyfriend, it was nearly a year that we had separated, during the talk he began to remember our courting and gave me a long kiss",joy
"i sensed such a feeling when i understood i was admitted to the university i was at home, the atmosphere was still, though i myself was full of suspense i tried to do different things when the telephone rang and! yes, of course there were othe",joy
"at a party, i started talking to a guy i had seen in one of my classes my boyfriend felt awkward and left to talk to a friend but kept on looking at me as i talked",guilt
"when my lover and i felt like we had gone full circle and our relationship was new, fresh, vital etc once again",joy
a friend forgot his appointment with me,anger
when i noticed the negative changes in a friend's behaviour,guilt
"when they found out that i was absent from school, i had gone to the girl's secondary school",guilt
"while at primary school, i did not let a friend ring a bell although he would have liked to do it  afterwards i felt bad",guilt
getting lost in a strange place,fear
"when i sat in the wrong discussion section in the beginning of the semester i insisted on being in the right section and the ta's list should have included my name when i found out that i was in the wrong, i apologized, turned red and left",shame
to buy a car and didn't like the business and the car,sadness
"sort of awkward i'd introduced (a lover) but introduced as a friend to some members of my family, and my niece yavanna who's six was home from school and at mum's and dad's and was really silly and at first it was ok, but it went on and on - yukky",disgust
"i ""cooked"" the engine in my father's car - it was actually his fault because he hadn't fixed the temperature gauge or told me when i finally got home i was absolutely screamed at and the anger i experienced was over the injustice of it all plus the",anger
not finishing homework in time,guilt
"my mother and her friends were speaking badly about my father when they were separated, and my brothers and sisters and myself were allowed to listen",anger
"when i realized the burden it was for my mother to look after all of us, all by herself",sadness
it was when i drunk urine during my childhood thinking it was water my friend had urinated in the tin,disgust
"my mother, sister and i were thinking about old times, our childhood, and we had a very happy time",joy
"letting jesus take control of my emotions ie, ill feeling",joy
i'm afraid of not being able to go to the school i want because of suffering grades,fear
a friend of mine could not make it back to unza after having failed the exams,sadness
when i see the acts and deeds of a blind drunk man,disgust
when a teacher tells a story which isn't true it only reflects his way of interpreting reality,anger
i was sitting on the bus coming back from school a man from nearly forty years sat beside me after a while i looked at him and saw that he was looking at me with opened throusers and holding his penis,fear
i once was accused of falling in love with someone's girlfriend which was not true because the girl was just a friend of mine,anger
saw a father beating up his small child,sadness
"i call my mother at least once a week however last week i completely forgot this morning she called me, she thought i felt ill",guilt
"i finished the relationship with my boyfriend, after having felt myself very unhappy for a long time",sadness
"unjust accusations directed at me and my way of acting, by someone close to me",anger
"on a road trip with a group of sorority and fraternity people, i became intoxicated and basically raped i don't remember the actual event, but i know the feeling that i experienced later",shame
"i went to practice in sweden during summer, and i was afraid that i would not do well",fear
not applicable to myself,guilt
"i acted in an english play in college and got the best actress award, while our play got the first place",joy
once i was not ready for a seminar and i was asked to leave,shame
"i felt a great joy when i knew that my father was going to sell the apartment from guarusa, because in some way we were helded by it, that means that we didn't go to any other place, because we had the apartment",joy
my mother always took my side that brought about quarrels with my father i knew she didn't like that and i felt very sorry for that,guilt
"a child was admitted in hospital with meningitis i was asked to do lumber puncture to obtain celebral spinal fluid for diagnostic purposes since the condition was already bad, the child died as soon as i finished the procedure",guilt
"occurs frequently a recent experience: when going out with many friends, nice music, after the examinations, i felt so happy i could have embraced everybody",joy
anger with boyfriend's best friend for alienating me and blaming me for personality changes in my boyfriend and changes in my boyfriend's attitude to him and his obvious egoistical attitude himself in doing so i also lost one of my best friends - h,anger
my father who is very quiet discovered i was going out with a coloured boy he called me names and was really upset,shame
i was looking at a one-man show on television he told very disgusting things so that i started to be disgusted with it (later on it proved that this was his intention),disgust
"i was fearful when i realised that the relish was overcooked simply because i was not keen enough at checking whether there was still enough water in the relish or not, instead i was just playing with my friends",fear
when i saw a person i had not seen for a long time,joy
"when i hooked a girl in kitwe  she was very beautiful for my standards, a rare bird of this kind accepted me as a boyfriend",joy
during my birthday party a friend drank too much alcohol so much that he had to throw up worst of all was that he couldn't leave my friend alone and that he was molesting her,disgust
"i could not meet my love, after having waited for a month, due to illness",sadness
when i left my part-time job,sadness
i was at school and afterwards went to work after work i went to see a friend and stayed out late when i got home my mother was awake and i felt guilty,guilt
when one of my parents insinuates something about the other (they are divorced),guilt
can't remember that feeling,shame
"one evening, in the tramway, i was afraid of two drunk men molesting my girlfriend and me",fear
when i offend somebody unfairly,guilt
thought had discovered true love,joy
"when, for example, my grandfather fell seriously ill it was necessary for him to be operated and i felt great fear of losing him because he is so dear to me",fear
we were just about to go into the exam room and i didn't see all my writing materials plus the identification card from the place where i left them,anger
when i was at a party i met an old friend from an adult education course  we had not met for 2 years but had both thought a lot about each other  a wonderful experienceá,joy
"a friend visited and made comments that my house/garden were not as neat/tidy as in the past i'd not seen her a year - she implied i'd gone to the pack (i'd only been working full time, and taking 3 university exams part time)",anger
the first day i visited the hospital i was disgusted because i experienced offensive smell which i never expected i nearly ran away from the course,disgust
"felt sad about some street kids in queii square, aotea square because they had been sniffing glue and some were very young i went into the role of a performing clown",sadness
"3 years ago i served in the army once a collegue denounced me because of a delict, which is usually committed i was arrested for 3 days i still detest this man",disgust
"exaggerating certain circumstances, wrong attitude and evaluation of these circumstances",shame
"one saturday morning i had got ready to go out swimming with my friends  unfortunately the weather did not permit it, so we stayed indoors",sadness
when i saw a fight i had a physical reaction of disgust and of deep perturbation,disgust
i felt it when i received a letter telling that i had been classified in a national concourse of p i felt happy and vanity about it,joy
"at the sight of an insect, such as the black-beetle",disgust
the behaviour of a fellow towards me and some others in the army was really mean  i detested this,disgust
when i was 4-5 years old my mother gave me some parts of a chocolate bar and ordered me to bring it to my father working outside on my way i could not resist the temptation and ate it myself,guilt
"when i was in the 12th standard, i could not speak english  one day, while  talking with my relatives i used a wrong word and  my cousin corrected me, believing that i did not know english  i really felt ashamed thená",shame
when i beat up my brother in order to control him and make him obey my parents orders,disgust
i crashed my father's car,guilt
it was when my instructor awoke me late at night to get prepared for the training at military college when he was coming back from his personal social activities,anger
"when i decided my first marriage had ended, and left with the child i felt overwhelmed by guilt as i was separating mother and child",guilt
being mistreated by other people,anger
my flatmate and close friend living and sleeping with another close friend of mine,disgust
one day i addressed my husband in an abusive manner in front of his friends  later on i realized this myself and felt ashamed of myself,shame
the first time that i saw a surgeon cut off a leg and put it in a black rubbish bag,disgust
"a male, honduran acquaintance of mine despised my opinions",anger
when i let a person assume a fault that i committed,guilt
""" i have been hearing rumours that you have not been allowing people in your room,"" he said  this sentence really shot my heart  i failed to find the right words, instead i walked away without uttering a word",anger
"it happened that one of my best friends just took my shirt without my knowledge, i hadn't put it on for many days and i was short of clothes",disgust
i feel sadness from the fact that i was not born with a better appearance,sadness
it was a shameful moment when i heard that i had failed my primary school leaving certificate exam in 1978 my girlfriend was there when the news was released,shame
a person misinterpreted what i had told her i had told her that i had failed to insert a nasogastric tube but she went and scolded the patient that she was being uncooperative,guilt
when somebody despised a friend of mine,disgust
"in school i had difficulties mith mathematics when i had to work for an examination, i really felt disgusted",disgust
negative statement concerning me of a friend before strangers,disgust
"when my grandmother was about 80 years old, she lived with us for several years i saw her illness i did not even want to breath the air that smelled of her presence",disgust
left alone in the biology building surrounded by empty buildings,fear
was threatened with a knife  in the military by soldiers form another unit the reason was girls,fear
the death of my twin sister - suicide,sadness
"i felt anger of a friend when she met ""a date"" and become nervous and pest as she always gets when she meets him",anger
when i went to the library three weeks after it had opened and found that everyone was busy,shame
"our neighbour came and gossiped, about others, with my parents",disgust
during a meeting,shame
cueing for bath for a long time,disgust
i felt afraid of losing somebody i love to another person because i was an incomprehensive person and lots of time i fight with this person,fear
i had intercourse with someone and then i realized that what i had done was wrong and it disgusted me,disgust
"when my grandmother died, her life was heavy and her last hours were terrible",sadness
getting drunk and creating a lot of trouble at a place i respect - my friend's home,shame
"outside a night club, a grown man was sitting on top of a younger woman, beating her up",disgust
"once i offended a friend, instead of her coming to me to ask and discuss the matter she was just telling other people about it and say all she could about me",disgust
"being sexually assaulted (not rape, but passionate kissing) by a friend's father - he stopped when he was driving me home i hadn't wanted the lift, had refused 3 times, and then felt it'd be rude to refuse again was really afraid of what he might",fear
when i heard that a woman of my community had aborted and got rid of the foetus by throwing it in the drain,disgust
"at the dentist's, waiting for my turn to come",fear
it was when i discovered that my boyfriend had another girl i discovered it through a letter he wrote to the girl when he was away when i asked him he accepted it,anger
before the examn,fear
when i got separated from the man i loved so much,sadness
when i am angry at someone without a good reason later on it proves that he didn't do anything wrong,shame
"sometimes when i go to work my crazy boss (a hyper jewish lawyer) insists i do things his way (filing, typing, etc) he sometimes blames me for things i didn't do, and i can't yell back at him",anger
"i was angered by a classmate who poured soup on to my clothes he was trying to use a short-cut method in getting his supper coming behind my back, he wasn't noticed by me and as i was retreating from a hungry congested people i knocked his plate á",anger
guilt - because i had not written to my sister for months before she died,guilt
"as a child - about 8 years old - walking across a paddock - being set upon by another boy who claimed it was ""his land"" - being intimidated by the boy - crying, being punched, etc",anger
when a little brother of mine damaged a cassette,anger
when i passed the 12th standard board exams,joy
i felt anger against a person who told bad things about me in my absence,anger
"when the grandmother of my friend died in a hospital my friend was crying and i was sad, too",sadness
when someone ignores what i am saying or doesn't let me have my point of view and they monopolise a conversation,anger
"at a choral concert i appeared as a solist the concert5 was very good, i forgot all the hard work that had been done before there remained only an undescribable joy and a feeling of warmth, security etc",joy
"i was alone at home, in bed reading a womens' magazine in which there were storiees of paranormal experiences  my leg was itching and i stretched my hand to scratch and i felt another strange hand (later i realized that it was the corner of the á",fear
"a friend who shares the room with me, opened the window in the morning and left the room the whole day when i came home in the evening, the room was so cold that i couldn't stay there",anger
being together with my best friend,joy
"when i had to undergo the final examination of secondary school, i lived together with a girlfriend we both were afraid to fail, but it appeard that we both had passed",joy
when i saw a film in which the man suffered from an illness and    his skin came peeling off,disgust
a close friend decided to stop with his study and to go back home,sadness
"i have a girlfriend, who is almost like a daughter to me  she is studying out of station and i get to see her only once a year  her arrival is always a joyous one",joy
when i failed my ssc exam,anger
"i stormed into the room, hoping to cool myself with some soft music from my three band radio cassette  there was only young kaley there and he explained, "" your aunt has sold it as she wanted to buy clothes""",disgust
when i got myself the kind of girlfriend i had been hunting for a long time,joy
"a relationship in which i had put my trust, broke up  i was sad when i realized how easy it is to forget something that one had once regarded as great and significant",sadness
