text,emotion
"anger at doctors for their treatment of me after giving birth they left part of placenta behind and i bled heavily for twelve weeks - due to this, i felt weak and emotional, and they said i needed psychiatric treatment and give me no support",anger
"i went to the school library and asked for a book, but the librarian told me that there wasn't such however when an other colleague asked for it she gave it to him",anger
"i was very angry when my friend lost my practical's journal, which i needed to study for the exams",anger
i was most angry when india lost the triangular cricket trophy held in australia  i was so angry that i fought (orally) with my friend,anger
"i was informed by my flatmate that, when we'd moved into our flat, she'd expected us to buy our food separetely - this event actually happened some 5 months after our sharing began prior to this, she had said nothing",anger
when i was teased by my friend for not scoring good marks in the exams,anger
"as a child - about 8 years old - walking across a paddock - being set upon by another boy who claimed it was ""his land"" - being intimidated by the boy - crying, being punched, etc",anger
"i wanted to go to bhopal for relief work (gas tragedy)  my boss simply refused to let me go, i was so angry that the only thought that came to my mind was to quit the job",anger
i was angry at a university tutorial when an ignorant loudmouth persisted in trying to dominate the conversation,anger
with self at losing an important game that i should have won,anger
"i was the compere at a party and all my efforts to get the show rolling were thwarted by the immobile, non co-operative guests  i felt frustation - bordering on anger",anger
an unjust calumny concerning me,anger
my grandfather's funeral,anger
"when bad and disgusting language is uttered by people, or when someone tries to show what is beyond his own capacities",anger
"my flatmate was asking questions about my relationship with my boyfriend, whether i wasn't treating him as unfairly as i claimed he'd been treating me as a result, i was angered, and became defensive",anger
when they stole my dark blue tennis,anger
discussing with a certain person about a job i was getting and that perosn was negative and pessimistic,anger
"when a person is privileged in account of situations that are unjust, and disloyal to colleagues and friends",anger
when a teacher tells a story which isn't true it only reflects his way of interpreting reality,anger
"when i used to go to my chief asking about any doubt about the job and he didn't care, didn't answer me, leaving me speaking alone",anger
we were just about to go into the exam room and i didn't see all my writing materials plus the identification card from the place where i left them,anger
the fact that i hadn't been informed about something and i had the greatest trust in this person,anger
"nearby the end of the year my wife and i were having a car ride, when it appears another vehicle, driven by a drunk driver and provokes an accident",anger
an old lady slipped and nobody helped her,anger
about the car (sadness) i felt anger the way i acted after negotiating it,anger
"i'm crazy about football when my team lost a goal in the paulist championship, and so it lost the classifications",anger
"when my neighbours accused my brother of stealing their rose-bush, i was very angry as he had not touched it at all",anger
"i felt anger of a friend when she met ""a date"" and become nervous and pest as she always gets when she meets him",anger
it happened that my brother promised to give me money for school and then he told me that he had failed to fulfil his promise a day before school started i became so angry for i thought my future would be ruined,anger
my class leader told me i am not chosen for your english lectures,anger
when they denied a job to a person that i propsed giving political reasons that has nothing to do directly with the professional level,anger
people not cueing in the dining hall,anger
i feel anger when things don't come out as i wish,anger
"i felt anger when i had a fight with my father, and he beated me my mother came to help me (because i was beeing beated) and he also beated my mother",anger
a classmate told me i must have bribed the class leader to let me go to your english lecture,anger
this feeling occurred to me when my colleague entered in gv (university) and i didn't,anger
when they changed my office to another room without my agreement,anger
insulted by some stupid people,anger
i feel anger when somebody forbids me to do something,anger
insulted by disgusting people,anger
"the doctors from belogradchik town determined a wrong diagnosis to my son a month later, after some complex examinations at isul (a medical institute in sofia), the diagnosis was categorically rejected",anger
"when i encountered not only with my father's lack of understanding but also with his unwillingness to understand me as a parent, as far as things for which i (not he) have proves to be right are concerned",anger
"about a month ago the regional council refused to pay my wife the due maternity benefit, because of bureaucratic reasons",anger
i was walking on a street alone in the afternoon when there were not too many people on the street  a couple of guys were following me and i was ignoring them  suddenly one of them came in front of me and started using dirty language and harrassin,anger
i was neglected undeservedly,anger
a friend of mine promised to come with me to the cinema but he didn't come,anger
i feel angry when somebody is unjust to me,anger
"it was quite recently, at the football match between the national teams of bulgaria and france i felt strong anger with the scottish referee who ran the match quite partially",anger
i was angry this morning when i missed the train to university,anger
when someone lies to me,anger
one day my elder brother badly scolded my father  this was the first time that i heard such abusive language from my brother  i requested him humbly not to use this kind of language but he did not care for what i was saying  finally i picked up a,anger
"i was to meet a friend at the bus-stop (he was coming to visit us) and he did not turn up  after having waited for him for some time     (about an hour) i called him up, to be told that he did not intend to come as he was feeling tired",anger
"at an undeserved attitude toward a man, when human personality is not treated decently",anger
"when my friend promised that she would come to my place, and did not turn up - i was annoyed at her",anger
"unfair and unjust attitude toward a person close to me, what i was the witness of, caused anger in me",anger
i feel this feeling when i am to fill in a questionnaire or a form,anger
"i was having an argument with my brother on his behavior, then we  started fighting and i got annoyed at him because he started teasing me",anger
in a conversation my boyfriend expressed definite and quite pretentious opinions and he took up an attitude towards a theory which he himself had never known his information was from fortuitous sources,anger
"anger i felt when my boyfriend told me he didn't mind breaking it off with me, ie each of us to take his own road because until that moment, he deliberately restricted our dates the motives were brought to my knowledge later",anger
when i failed the msc exams,anger
"at an unjust, or to be more precise, at a bureaucratic treatment of one's personality",anger
"a few months ago when i was teaching, i suddenly became very angry at the children and slapped some of them",anger
unjust punishment of a friend of mine,anger
when i see how people around me pass by certain unjustice because of indifference or cowardice,anger
"i unfairly got a low mark on an exam and i failed to win a grant, since then i don't have much confidence in myself at an exam",anger
"one winter day i, unwillingly, was outdoors with my younger brother (10 years younger than me)  i lost my temper on him and wanted to throw my brother down the snow bank we were on  i pushed him but not as hard as i had wanted to we were alone th",anger
i got angry when i learned how short a time we had to prepare for the term examinations,anger
when my husband stays late at a meeting and i have to be alone,anger
same situation as before - having my car stolen,anger
i felt it when a girl who was dear to me lied to my face i got angry with the fact that she knew i didn't believe her but she kept on telling lies,anger
having my personal objects rearranged by someone else without my consent and having it arranged to their taste then trying to find a particular object they rearranged for an hour or more,anger
with the girl whom i may be loved truly when she refused to come with me to an occasion (she was from another town),anger
"i always get angry when somebody deceives me, or tries to conceal his lie skilfully and this offends me even more",anger
i came out of the house at 7:20 am monday morning getting ready t go to school and fight for a parking when i saw my car had a flat tire,anger
i got angry with a stranger in a train who behaved impertinently and immorally,anger
"when my father talks about our relatives and favours them, i feel angry",anger
i was stood up for a date function by someone who i really cared for,anger
i thought him a good friend but he tried to lie to me several times last time was the height of impudence he promised he would come home but he didn't i felt a sense of anger and insult,anger
when my dad told me about something he had done against my mother,anger
when i am made to do things in which i see no sense and i waste my time some time ago i had to participate in a sociological investigation and then i got really angry,anger
i was drawn up a statement for an infringement of the traffic ordinance in fact i was innocent,anger
when i failed my ssc exam,anger
"a honest ""sliding"" on the part of a girlfriend of mine terribly crossed i started breaking things and tearing books",anger
my husband and i were invited at the house of our nieghbours then we got an invitation on the part of my parents which we had to refuse a a result they called me by words that provoked my anger,anger
"i was angry at my brother over an argument we had together  we do have a few fights from time to time, and also at times i take out my anger on him",anger
i feel a strong anger when i am treated unjustly,anger
i felt angry when my mother-in-law did not handle my daughter properly and she fell down from the bed and hurt her head,anger
"attitude to some manners of dealing and some ""sanctioned"" relations",anger
i get angry when my smaller brother misbehaves and talks with indecent words,anger
"this emotion has never been an intense one, that makes it difficult to recall it",anger
a close person lied to me,anger
i had an accident with a trafic police car that was packed at a curve without any visibility and against all traffic regulations in a strong snowstorm as a result i still cannot repair my car because of the missing spare parts,anger
"when a relative, who had come to our place, created untidyness and dirtyness",anger
i felt it on the same occasion when i felt sadness which finally grew into anger,anger
i felt anger against a colleague of mine during a rehearsal in acting he hadn't learnt the text of an opera act in the course of several months and thus making difficulties for the rest of my colleagues,anger
my friend and i were to attend a very important meeting and he had promised to come and pick me up  but he did not turn up and i felt very angry at him,anger
"when playing a football match, there was one player who made mean tackels, kicked at everything and did things having nothing to do with football",anger
i was very angry one day when my husband ignored me and slept      on a separate bed  he had no reasons to doubt me or to neglect me and i had never imagined that he could do such a thing,anger
"when my mother decided to clean out my room and throw out what she thought was junk, without my knowing about it, so i returned home to find half my stuff gone",anger
i remember that when i was in school i saw a case of partiality - one of the teachers gave private coaching classes to some girls and she would give these girls extra attention in class and would ignore the others,anger
"when i was blamed for some of my attributes which are very often misunderstood, especially when one is very frank",anger
someone stole my ski at vitosha and of course i was the one to be blamed i left them without supervision,anger
when my friend (girl) promised to help me go to the hospital and be examined by good experts and she deceived me,anger
my brother accused me undeservedly before my parents i was not guilty he was misled by his wife,anger
"i experience this emotion quite often but the day i was most angry was the day i got pulled up for something i had not done  it happened during my school days, i had not spoken a word in class but the monitor had written my name on the board  so i",anger
"i feel anger when i see a ""parent"" beating and punishing his child in the street recently i was a withness of a similar case",anger
at a certain situation i felt myself neglected and undeservedly harmed,anger
a new gas connection was to be installed and the mechanic who came to do it was very rude to my mother and me  i rushed to thhe dealer with my mother and had a fight with the dealer as he seemed to be unreasonable and was taking the mechanic's side,anger
i was angry when my abilities of a singer were underestimated,anger
"once, during a performance i did not sing the way i had to",anger
when i saw a few people beating a man who seemed to be a stranger,anger
i was waiting to receive the participation on the profits and did not receive it,anger
despite our good performance and excellent results the management refused to meet our demands,anger
a shop-assistant behaved rather roughly with me though she hadn't the slightest grounds for it,anger
i have a friend that i deeply trusted but it happened that i lost my confidence in her for which she herself was to blame,anger
i was indignant at the unimpartiality shown by the referees at the football match between bulgaria and france,anger
i haven't often felt this feeling once someone stole my garment,anger
"when, for example, i was not approved to continue my studies at the moscow university, no matter that i had the highest marks and in general the best records of all the candidates",anger
"one of my friends asked me to go shopping with her, another friend of hers was also coming along  during the outing they kept talking to each other and i felt left out, even when i tried to talk to them they seemed not to listen to me and did not p",anger
"in the house where i live there is a new flatmate his friends unfortunately are the dirt of society, intelligent, fashonable, rich and bored at a party recently they were doing things i didn't like done in my house i felt angry at them",anger
i am separated from my husband  the way he has behaved towards me makes me angry,anger
"a friend got angry and drove ""like a lunatic"" with me and others in his car i was angry about his dangerous driving",anger
"i've a situation of responsibility an employee who had a habit of being late, came late again after promising to say he would be at work in a few minutes, then arrived 3 hours later he had been drinking",anger
"a girl whom i trusted and with whom i had shared personal, confidential matters twisted the facts and told it to a common friend of ours  when this common friend told me the version my friend had told her, i was angry",anger
"teenage neighbours smashed my letterbox for the fifth time in a couple of months it was a deliberate action of kids who had stayed in my home, had meals there yet took a dislike to my daughter",anger
a whole crowd of us went to a folklore festival the instructor of the cast where my boyfriend played was traveling with us we decided to catch the train that leaved early in the morning because we had business on the following day the instructor,anger
"one morning i was standing at the bus-stop and the bus passed by without stopping, even though there were only 8-10 passengers inside  i felt angry at the rude behaviour of the bus driver and  conductor",anger
when i was at sybajaj i wanted to get admission in another college and this was not easy and i felt angry,anger
"i was not given a chance to explain to my close relatives as to why i could not go to visit them when they were ill  when i did go, they thought that i had been selfish and irresponsible duringá
their illness",anger
"i get angry when someone imputes on me things i never can do, naturally negative servility, ""connections"", impudence, traits that get me mad",anger
i experience that feeling when i am unsulted without deserving it or when someone deceives me,anger
"uncleaniness at my work place  the place is generally not very clean, but when it reaches a point, i get angry at the person who is supposed to clean the place and the people who are supposed to supervise him",anger
"i get angry with people who attain certain status without deserving it, only with the support, authority and influence of other people",anger
i shared a secret with a friend and it later turned out that he had revealed it to another person with whom i didn't get along very well,anger
"when the others did not do their bit of work on a group assignment task, and i had to do all the work",anger
they wanted something to happen but i didn't,anger
when you are unjustly assessed at something you are sure to have been right,anger
when i was insulted by a man,anger
when i was a soldier i quarrelled with my commander and may be in revenge for this he detailed me on duty two successive nights naturally he checked me up on the second night and found me asleep for which he sent me to the cells,anger
people hunting animals,anger
"as i usually do not start learning until a short time before an examination,, i once made up my mind to try to work for a longer time but once again i did not do it - and got a bad mark",anger
my sister had promised to help me to do a translation from english into german but the day i needed her she told me that she was busy - i was very angry,anger
i was angry when my friends said that i should not receive nursing science books because there was a rumour that i was intending to leave the college,anger
i was angry with a person who behaved terribly at a ball offending her relatives,anger
when in a difficult moment i couldn't express myself correctly and my thought came out with distortions bringing about highly negative and distorted results,anger
i was angry when somebody stole my half petticoat,anger
"when i talked with a teacher yesterday who, to say the least, was rude and unwise and had irrelevant opinions about a friend",anger
"when i was dismissed unjustly from the firm where i worked, because there where persons that didn't have problems, and wouldn't miss in the jobs they occupied if they were dismissed",anger
a tailor ran away with my skirt,anger
"when i talk to silly, petty-minded and unmanageable people",anger
sometime back another girl who was in terms with my ex-boyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,anger
i wrote an exam and happened to have not done as well as i thought i would i was angry to myself for not having done so well,anger
when boyfriend lied to me,anger
i was furious when the teacher pointed out in class that i was the quietest girl in class,anger
my feelings towards would-be in-laws for their participation in recent broken relationship,anger
"when i wanted to talk to someone i liked and whom i have been told likes me (by his brother and even by himself) however he avoids any confrontation, and is vague",anger
"when i was house-hunting: another person got a flat that i would have liked, too, because he heaped a floot of words on the letter",anger
i was angry when my boyfriend did not turn up as promised,anger
i was angry about several drivers who showed an aggressive and dangerous driving habit,anger
"i was waiting behind a car which was going to leave the parking place, because i wanted to park my car there because of uncoming traffic i had to wait for a short time - another driver placed his car on the place",anger
i had been in love with a certain young man who pretended to love me but one day i found out that he had another girlfriend who was also a friend of mine,anger
"i was in ""hainburg"" in december and i was angry about the politicians and the police",anger
"at school, a couple of years ago, a so-called acquaintance told lies about me to a teacher i was told about it by friends who overheard the conversation",anger
i was very hungry and just wanted to start eating when a friend called me who usually talks for a long time i was angry because i was prevented from eating,anger
this was when my boyfriend told me that i was double-crossing him with a certain boy,anger
"i was angry about how the government acted concerning hainburg, especially when i saw a discussion about it on tv",anger
"when i come home in the evening, the first thing i do is to sit down and smoke a cigarette one day i found the flat in a totally desolate state my girl-friend had wanted to tidy up but had not finished",anger
when a little brother of mine damaged a cassette,anger
a man treated his dog very badly - he insulted and beated him until the dog kept lying on the floor with his tail drawn in,anger
"during the xmas holiday, i and my best friend at secondary school had planned to meet at a cultural afternoon at the mt soche hotel after missing each other for such a long time when i asked my mother for permission, she told me not to go for no g",anger
"my parents are divorced, father pays alimony for me two years ago my sister who lives with father, suddenly asked mother for money as she considered the amount of money my mother offered her too small, she brought an action against mother i was á",anger
"i had got a bad cold my father said i must be crazy to go by motorbike at those temperatures when i answered him that i did not care about a cold, he said that if i did not care for anything i could leave him (it was for the second time he said á",anger
one day i was angry with my friend who went into my drawer and took a piece of paper on which i wanted to write a letter and used it for her business without my knowledge,anger
i had studied for almost one week for my physics-examination with difficulty i passed the examn i was angry about the teacher and also about myself because i had not remembered enough during the examn and because the time that i spent studying was,anger
i was angry when someone stole a magazine which i had borrowed from another friend and locked it in a drawer,anger
last week a friend of mine called on me and said i was moody and difficult to persuade with this i got angry with her,anger
when i felt being treated unjustly by a teacher,anger
when i damaged my wristwatch which i liked very much,anger
"when i am discussing something with a person and i realize that the other person is thinking over her own argumentations instead of listening, i become angry",anger
"at an examination i got a bad mark just because of a small mistake when i went to the lector and wanted to talk about that, he did not listen to me but sent me away",anger
it was during the beginning of the term i had k100 and kept it in my handbag i left the handbag in the wardrobe but didn't lock it next time i found that k30 were stolen,anger
i had arranged with a friend to go with him to carinthia by car we had arranged a place where to meet i was a bit late and my friend had left already i had no money to go by train i nearly started to cry because i was so angry - it was very impo,anger
i had stolen a bottle of rum from a person who knows me well he threatened to call the police if i did not pay 500 shillings,anger
i went to a fair where a guy who was drunk kept bothering me and in the end i got really angry,anger
"when we still attended school, my brother and i usually went to see our aunt and to show her our term's report she rewarded us with money although my reports were as good as my brother's, he got more money",anger
"a friend was unpunctual, we wanted to prepare ourselves for an examination",anger
i share my small flat with my friend on her birthday we could not see each other until evening because we had to stay at the university all day in the evening i left a lecture before it finished to be able to buy flowers for her when i was at hom,anger
a friend had promised to call me at a certain time i expected his call impatiently but in vain,anger
"new year's eve party in the country, i hardly knew a person; my partner spent most of the time at the bar i had little opportunity to get to know people because our table was separated and my boyfriend's parents were present",anger
the headmistress at a secondary school accused me of banging the classroom door when i didn't in front of the whole class,anger
a colleague asked me to study with her i could not explain things as perfectly as she had expected so she reacted in an aggressive manner,anger
one of my friends went and told another friend of mine that i was going abut with another guy in lilongwe besides the one i had she said i was seen with him hand in hand,anger
when i lost my driving license because i had been driving while under the influence of alcool,anger
"recently a good friend only called me when he needed something he never said ""please"" or ""thank you"" or any other kind word",anger
it was when i discovered that my boyfriend had another girl i discovered it through a letter he wrote to the girl when he was away when i asked him he accepted it,anger
"i wanted to see a friend, i had been looking forward to it and had certain expectations, but he did not pay any attention to me, played cards with other people",anger
"i wanted to go to a friend of mine who had a party; at the moment i wanted to leave, my father said i couldn't go because he needed me for some work in the afternoon",anger
made mistakes in exam,anger
i had a quarrel with my parents; i was convinced to be right,anger
when we rearranged furniture in our flat and got stuck in a chair,anger
my friend misunderstood me,anger
i helped my little sister (13 years) learning mathematics obviously she did not want to understand what i explained and started to cry i grew angry,anger
my girlfriend started singing (she cannot sing) and did not stop despite my asking her to do so,anger
listening to long speech of the party leaders wasting my time,anger
"when i came for the lesson, it was cancelled and i had to fill in a questionnaire instead",anger
my bed sheet (present of my parents) damaged by roommate,anger
"while playing a ball game, i was just about to make a goal when i was thrown off my feet, and i failed to score the goal",anger
i read in the newspaper that the student lodging fund was going to build new appartments for refugees (in my opinion this is the state's affair)  this is when only a fractoin of the students can find an appartment,anger
south korea winning more gold medals in the asian olympic (more than china),anger
"the last day of school is traditionally celebrated by singing a song about all the students who are leaving  in the song about me, there were things which irritated me a lot",anger
"a friend of mine had promised to arrange me some tickets for a concert which i considered important  he could not get them the way he thought he would, so he gave up the whole thing",anger
"too many people in tv room, i was not able to get a seat to watch tv",anger
"at the weekend i wanted to be absent from school because of a sports event, but my teacher refused to give me the day off because he didn't like me",anger
"i went singing with a group of young people on january 6th (the three magi), a local custom called ""star singing"" one of the girls, my girlfriend, broke the star being the accompanying person, i felt very angry thinking of the consequences",anger
"my best friend started moving out with my boyfriend when i heard this my heart sank because i didn't expect that my own good friend could do such a thing, so i got angry",anger
when my dress was stolen,anger
at the end of my holiday job i got less money than was due to me and nobody mentioned anything about that,anger
i was angry at the cafeteria when the cook scolded and said many bad things about me without reason he thought i was among the girls who did him wrong,anger
it happened in a tram: some older people started to grumble about the young people just because i had not immediately left my seat to them,anger
my mother treated me unjustly as if i was a little child i said mean things i was unable to defend myself adequately,anger
when a certain boy went about saying that i am his girlfriend i wrote him an insulting letter to him and called him names,anger
"after an exhausting day i came home and wanted to take a bath to relax my father wanted to take a bath first and when he had finished after an hour, there was no hot water left for me",anger
"during the christmas holdidays i wanted to invite my brother, his girlfriend and their child for dinner when i said to my brother's girlfriend that i would like them to come at my place for dinner, she refused and never mentioned it again as if i á",anger
"a certain man went to my parents and told them that i was married here, when i am here at school when i went home for holidays my parents asked me about it and i was angry with that man",anger
i felt angry when my friend told me that i had stolen her money,anger
"i was angry the other day because the teacher told me to sweep some orange peels it was my friends who were supposed to sweep, but the teacher told me to do it",anger
"one day, when riding on a bicycle path, a car coming from the opposite direction forced me to get off my bike although i had the priority",anger
"i wanted to clear up a misunderstanding with a friend that i had caused a third person meddled in our conversation, turned my efforts to ridicule so that i did not succeed in what i had intended",anger
i was angry when i had not been granted a leave out pass during the last weekend,anger
i arrived in vienna in the middle of the night i asked for some silly information - as i realized myself afterwards - and the inquiry  clerk reacted in a very arrogant manner,anger
"a friend who shares the room with me, opened the window in the morning and left the room the whole day when i came home in the evening, the room was so cold that i couldn't stay there",anger
somebody took my wristwatch and promised to have it mended and later was telling me that he couldn't give it back to me because i was rude at a certain time,anger
"at the hairdresser's, i got two stains of dyestuff on my new trousers these stains are not removable, so i cannot put on the trousers again",anger
the patient whom i expected to get well suddenly passed away after he showed had his meals,anger
a friend called me and told me that she wanted to come and see me she lived in a village at 50 km distance fom my home town next morning i expected her but she didn't arrive as i got impatient i called her but her parents told me that she had gon,anger
"a friend of mine tried to persuade me to go at her place to act as a model because she felt too tired it was a quarter of an hour before the appointed time, i had just lied down and did not want to go because it was too late anyway she said that i",anger
i was so angry with a patient who refused to take drugs,anger
"during a lecture, a colleague who did not know anything about the subject, got on my nerves asking silly questions",anger
at school when i had a shouting argument with a friend over my ability to carry out a particular duty in the correct way without harming her,anger
"i was at the corner shop, which i patronise regularly i had only a $ 50 note and i purchased about $ 3 worth of goods that i really needed - the keeper made sarcastic remarks to others about people using him to cash notes",anger
my girlfriend mentioned a certain girl's name who was my girl some time back and she is no longer mine that she said she was still mine,anger
"at the hardware store, trying to convert imperial to metric measurements, i made a mistake, and didn't buy enough tiles for the bathroom i was angry at myself, because i hope to be a maths teacher",anger
my lovely girlfriend double-crossed me and so that i found her chatting with another guy,anger
"a person ignored my advice, did not pay any attention to what was saying she acted as though i wasn't even there we were doing group work so everybody had the right to speak yet she just ignored me she made me feel insignificant",anger
"at a school dance when my supposed ""best friend"" kept walking away from me whenever i came near her",anger
i was angry when i heard that my only girl was going about with another man so i decided to drop her but later the story came to be untrue,anger
"when my mother and father split up i was angry: i felt deprived and ""different"" from other children at school",anger
brother provoked anger it was when mother and father were away and we had to look after ourselves he accused me of being selfish and a snob,anger
when i was charmed by my relatives,anger
"when i received the mark well above requirements for the course i wanted to enter, yet i was not accepted - anger at the injustice of it, because i didn't receive early release of hsc marks",anger
i felt angry when i heard that my sister had failed the examinations which we hoped she was going to pass with distinctions,anger
i felt angry when i was told that i had not been selected to go to the university,anger
"following an argument with my brother, he broke my golf clubs",anger
i was very angry when i heard that my brother was beaten by his friendsá,anger
finding that a subordinate at work was still not willing to cooperate after discussions to try and resolve an attitude problem,anger
last night - finding that someone in the house had eaten an entire packet of almonds i had bought for a family treat,anger
i planned to travel a distance of 20 kilometres on my bike i planned this when i was working in the hospital when i went to the house i found that a friend had taken my bike without my consent,anger
not being alowed on a school camp with the class i'd been in for 11 years (i had stayed down due to illness),anger
i was very angry when one day i went to see my girlfriend i talked to her and could not answer back she was depressed for reasons which were not known to me,anger
i walked in on a teenage patient of mine (i work in a hospital) as he was going through my office drawers and he had removed money from my purse,anger
when my rights to use a shared house had been usurped by co-owners out of pure selfishness,anger
"once when i was playing table tennis i was already sure that i would win , but at last i lost the game",anger
doing a group assignment and being left to do all the work and take the blame for any mistakes,anger
"getting terrible meals, but paying heaps for them",anger
"after i said something that my boyfriend disagreed with, he walked away from me without discussing what bothered him i became very angry with him for treating me this way yesterday, november 14",anger
i learned that my girlfriend had been unjustly missed from work,anger
i felt angry when my only pair of trousers was stolen and could not be able to find out who the thief was or anyone who knew about the story,anger
when an unknown person provoked me verbaly and physically,anger
i was with my girlfriend when some guys that i don't like made fuss at my girl,anger
my young brother took my wristwatch in my abscence and sold it to his friend at a cheaper price,anger
